City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,makokou,0.5738,12.8642,73.6,91,75,4.43,GA,1670171620
270,hobyo,5.3505,48.5268,79.7,69,17,16.8,SO,1670171620
271,sarkikaraagac,38.0794,31.3664,43.83,72,20,3.65,TR,1670171621
272,fomboni,-12.28,43.7425,81.37,75,1,9.42,KM,1670171621
273,korla,41.7597,86.1469,21.38,34,67,2.89,CN,1670171537
274,chokurdakh,70.6333,147.9167,-35.46,100,33,4.54,RU,1670171622
275,kankaanpaa,61.8,22.4167,23.76,99,78,1.21,FI,1670171623
276,tuatapere,-46.1333,167.6833,49.84,92,100,6.35,NZ,1670171623
277,edd,13.9297,41.6925,83.14,56,2,16.53,ER,1670171623
278,hamilton,39.1834,-84.5333,35.98,54,0,6.91,US,1670171428
279,tura,25.5198,90.2201,61.43,83,0,4.0,IN,1670171624
280,guerrero negro,27.9769,-114.0611,66.67,84,100,9.24,MX,1670171624
281,iranshahr,27.2025,60.6848,70.14,21,0,0.0,IR,1670171625
282,campoverde,-8.4753,-74.8058,82.09,48,89,3.74,PE,1670171625
283,baie-comeau,49.2168,-68.1489,26.28,63,75,16.11,CA,1670171626
284,sitka,57.0531,-135.33,33.69,80,20,5.75,US,1670171626
285,sao joao da barra,-21.6403,-41.0511,80.69,85,100,21.7,BR,1670171627
286,kiruna,67.8557,20.2251,2.01,99,97,1.99,SE,1670171627
287,ponta do sol,32.6667,-17.1,65.03,79,100,13.6,PT,1670171627
288,oranjemund,-28.55,16.4333,62.8,74,51,16.17,NA,1670171628
289,eloy,32.7559,-111.5548,61.86,98,100,3.49,US,1670171628
290,kirakira,-10.4544,161.9205,79.07,85,100,6.51,SB,1670171629
291,santiago del estero,-27.7951,-64.2615,99.84,16,16,6.82,AR,1670171630
292,caldwell,43.6629,-116.6874,28.85,92,100,9.22,US,1670171531
293,talnakh,69.4865,88.3972,18.21,98,100,10.45,RU,1670171630
294,meulaboh,4.1363,96.1285,76.68,90,100,8.84,ID,1670171631
295,marawi,7.9986,124.2928,68.31,94,99,0.81,PH,1670171631
296,pisco,-13.7,-76.2167,70.02,78,20,11.5,PE,1670171631
297,itarema,-2.9248,-39.9167,86.77,58,28,19.82,BR,1670171632
298,iqaluit,63.7506,-68.5145,28.13,92,100,23.02,CA,1670171632
299,broome,42.2506,-75.833,38.01,63,40,10.36,US,1670171633
300,vostok,46.4856,135.8833,-13.56,98,93,5.46,RU,1670171633
301,ancud,-41.8697,-73.8203,58.28,73,88,12.62,CL,1670171634
302,werdau,50.7333,12.3833,42.64,90,100,6.62,DE,1670171634
303,ozinki,51.1786,49.6769,13.37,70,10,8.43,RU,1670171634
304,ballina,-28.8667,153.5667,63.01,97,58,7.14,AU,1670171635
305,kalachinsk,55.0529,74.5751,-8.68,95,58,3.83,RU,1670171635
306,port macquarie,-31.4333,152.9167,58.89,90,49,4.12,AU,1670171511
307,havelock,34.8791,-76.9013,55.35,70,0,16.11,US,1670171636
308,kamyshla,54.1169,52.1426,8.33,84,100,8.81,RU,1670171636
309,gornyak,50.9942,81.4661,11.84,89,100,12.15,RU,1670171637
310,candido mendes,-1.4467,-45.7167,87.04,56,78,7.56,BR,1670171637
311,akyab,20.15,92.9,75.6,77,14,8.23,MM,1670171637
312,maniitsoq,65.4167,-52.9,30.0,94,100,31.14,GL,1670171638
313,troitsko-pechorsk,62.7084,56.1964,-3.57,100,56,3.62,RU,1670171638
314,valley city,46.9233,-98.0032,18.12,67,0,17.27,US,1670171639
